median_rent,median_income,total_pop,white_non_hisp,total_housing_units,vacant_housing_units,borough,year,geoid
977.0,35424.0,6432,942,2550,160,Bronx,2009,041900
948.0,47833.0,3604,226,1422,134,Bronx,2009,042000
915.0,35144.0,5540,714,2388,174,Bronx,2009,042100
1042.0,48547.0,3280,156,1159,35,Bronx,2009,042200
984.0,36781.0,3756,621,1452,33,Bronx,2009,042300
1375.0,47195.0,3075,86,883,61,Bronx,2009,042400
1017.0,28967.0,6643,1176,2317,137,Bronx,2009,042500
1286.0,62054.0,7901,332,2183,121,Bronx,2009,042600
878.0,69832.0,2306,80,739,20,Bronx,2009,042800
947.0,27237.0,3050,579,1239,33,Bronx,2009,042901
988.0,31696.0,3694,266,1431,91,Bronx,2009,042902
1073.0,53382.0,3197,210,1063,41,Bronx,2009,043000
993.0,32285.0,9819,687,3630,286,Bronx,2009,043100
921.0,41985.0,2917,188,1019,58,Bronx,2009,043200
1190.0,55063.0,2056,144,769,21,Bronx,2009,043600
1274.0,64414.0,3561,70,1067,0,Bronx,2009,043800
1039.0,38462.0,1175,160,370,0,Bronx,2009,044000
941.0,42000.0,3688,258,1315,89,Bronx,2009,044200
1125.0,61719.0,937,31,372,28,Bronx,2009,044600
1446.0,64583.0,2155,201,653,19,Bronx,2009,044800
1139.0,61848.0,1866,1693,945,125,Bronx,2009,044901
1096.0,65069.0,2003,1659,981,39,Bronx,2009,044902
1091.0,47500.0,1668,1184,929,59,Bronx,2009,045101
1036.0,54688.0,2006,1810,1027,89,Bronx,2009,045102
894.0,65313.0,1728,99,705,17,Bronx,2009,045400
433.0,26199.0,7830,14,2449,44,Bronx,2009,045800
566.0,30213.0,3165,55,1037,80,Bronx,2009,046000
760.0,44967.0,24462,3001,11618,340,Bronx,2009,046201
641.0,47450.0,7734,231,2785,175,Bronx,2009,046202
1201.0,54715.0,3505,63,1268,113,Bronx,2009,048400
1582.0,81196.0,1028,462,324,0,Bronx,2009,050200
1021.0,72303.0,4586,3878,2122,169,Bronx,2009,051600
982.0,38043.0,1816,47,710,74,Brooklyn,2009,027101
979.0,37477.0,1218,0,401,34,Brooklyn,2009,027102
986.0,30714.0,3308,1619,1257,83,Brooklyn,2009,027200
970.0,41648.0,4076,93,1364,46,Brooklyn,2009,027300
975.0,42057.0,2750,1602,927,68,Brooklyn,2009,027400
1161.0,45972.0,4482,243,1869,374,Brooklyn,2009,027500
943.0,33594.0,3922,1345,1264,73,Brooklyn,2009,027600
942.0,30385.0,3598,36,1732,354,Brooklyn,2009,027700
962.0,36713.0,2794,2003,1177,52,Brooklyn,2009,027800
844.0,35809.0,3622,30,1668,456,Brooklyn,2009,027900
1039.0,55652.0,1705,1071,658,20,Brooklyn,2009,028000
619.0,17500.0,3621,64,1438,118,Brooklyn,2009,028100
1093.0,37542.0,2611,1726,1243,113,Brooklyn,2009,028200
451.0,19496.0,3987,100,1487,176,Brooklyn,2009,028300
956.0,36919.0,3701,2084,1455,38,Brooklyn,2009,028400
1331.0,35385.0,917,179,142,0,Brooklyn,2009,028501
358.0,15769.0,3416,30,1144,0,Brooklyn,2009,028502
896.0,26636.0,4848,2966,2109,123,Brooklyn,2009,028600
546.0,22108.0,3250,281,1101,100,Brooklyn,2009,028700
881.0,29700.0,3591,1855,1202,88,Brooklyn,2009,028800
744.0,25745.0,3270,59,1325,109,Brooklyn,2009,028900
1033.0,33354.0,3655,2650,1584,92,Brooklyn,2009,029000
996.0,33401.0,2542,58,1276,261,Brooklyn,2009,029100
902.0,29527.0,2103,1612,928,59,Brooklyn,2009,029200
629.0,28295.0,3505,40,1343,39,Brooklyn,2009,029300
905.0,29447.0,2326,1630,593,54,Brooklyn,2009,029400
1067.0,50466.0,3440,88,1799,391,Brooklyn,2009,029500
1071.0,42712.0,4553,3478,2080,253,Brooklyn,2009,029600
1005.0,55876.0,3809,134,1667,157,Brooklyn,2009,029700
1133.0,46667.0,3887,2295,1271,59,Brooklyn,2009,029800
797.0,38548.0,1676,0,624,132,Brooklyn,2009,029900
