geoid,borough,year,median_rent,median_income,total_pop,white_non_hisp,total_housing_units,vacant_housing_units
013800,Bronx,2009,1511.5421137339056,83806.37550295066,29805,22884,14861,1497
013900,Bronx,2009,1504.643545154826,69500.8480832633,9961,6710,6393,876
014000,Brooklyn,2009,1514.1873779147754,117823.85676513125,14231,10870,7094,1016
014100,Brooklyn,2009,1075.4750989216218,47302.75582365677,7262,2630,3170,242
014101,Bronx,2009,1075.832192536984,47272.012916758664,873,317,381,28
014102,Bronx,2009,1075.832192536984,47272.01291675867,1031,375,450,34
014200,Brooklyn,2009,1647.1507177033495,118208.10979602116,7904,6007,4465,1039
014201,Queens,2009,1147.885470105797,51856.940526536295,5067,291,1397,83
014202,Queens,2009,1294.563273361451,52839.39167266256,3138,219,706,24
014300,Bronx,2009,1159.8398708442958,48572.91174360202,8320,3591,3733,422
014400,Queens,2009,716.811995714766,36041.40276643618,6158,472,2213,201
014401,Manhattan,2009,2001.0,123750.0,5758,5143,3146,259
014402,Manhattan,2009,1755.6554646820455,88848.25855535528,7184,6214,4506,344
014500,Bronx,2009,1342.7273700551364,65991.90193244473,18599,7918,7967,903
014601,Manhattan,2009,1822.0,87946.0,3880,3089,2827,262
014602,Manhattan,2009,1910.0,114464.0,8958,7163,5764,721
014604,Staten Island,2009,1126.0,82018.0,6468,5986,2588,81
014605,Staten Island,2009,1315.0,93750.0,4026,3382,1484,0
014606,Staten Island,2009,1507.0,90294.0,6900,6189,2454,75
014607,Staten Island,2009,1109.0,82172.0,3309,2920,1230,17
014608,Staten Island,2009,1109.0,82172.0,2172,1917,807,11
014700,Bronx,2009,812.8413733987334,43126.9468069908,18244,6602,7598,560
014701,Bronx,2009,812.8413733987334,43126.94680699081,1270,460,529,39
014702,Bronx,2009,812.8413733987333,43126.9468069908,1067,386,444,33
014800,Brooklyn,2009,1374.5177664974617,63669.248730964464,3656,1242,1119,84
014801,Manhattan,2009,1943.0,145972.0,2730,2533,1676,278
014802,Manhattan,2009,1834.0,110811.0,6405,5514,4214,751
014900,Bronx,2009,1474.1377542101275,81108.39409125342,10951,5652,5840,1105
014901,Bronx,2009,1474.1377542101277,81108.39409125342,1884,972,1005,190
014902,Bronx,2009,1474.1377542101277,81108.39409125342,4323,2231,2305,436
015000,Brooklyn,2009,1255.4854409317802,65657.63269550749,4808,1723,1334,10
015001,Manhattan,2009,2001.0,144492.0,2765,2569,1334,130
015002,Manhattan,2009,2001.0,183846.0,6029,5823,3169,603
015100,Staten Island,2009,1524.2871479115263,78185.64306146392,20512,10211,9195,856
015101,Bronx,2009,1524.3257001758896,78184.22354891084,1503,748,674,63
015102,Brooklyn,2009,1473.09887318193,75109.55471462478,4904,2336,2200,206
015200,Queens,2009,1361.1884313813403,61739.535998258776,17850,6982,7509,600
015300,Brooklyn,2009,1647.2880489490049,95625.69908781323,14094,8376,7985,1057
015301,Bronx,2009,1648.229576719577,95694.19142857143,2415,1435,1368,181
015302,Bronx,2009,1648.2295767195767,95694.19142857142,2429,1444,1376,182
015400,Bronx,2009,1411.4685645190048,75235.00541824636,4391,2800,2680,353
015401,Bronx,2009,1413.9046286876905,75436.97431332654,51,33,31,4
015402,Bronx,2009,1413.9046286876905,75436.97431332654,40,25,24,3
015403,Bronx,2009,1413.9046286876905,75436.97431332656,37,24,23,3
015500,Bronx,2009,1283.8666173113702,78544.83250046271,12268,7769,6400,679
015501,Bronx,2009,1283.8666173113702,78544.83250046271,2562,1623,1337,142
015502,Brooklyn,2009,1407.8483443606726,76343.78577313079,3406,1804,1626,162
015600,Bronx,2009,1257.5800464037125,61815.896945088934,1936,503,671,54
015601,Manhattan,2009,1474.2279100097815,83266.5206227584,12268,9909,5627,434
015602,Manhattan,2009,1516.4601398601399,69336.66958041958,5720,3565,2190,64
015603,Staten Island,2009,1156.0,82176.0,1463,1239,516,10
015700,Brooklyn,2009,1429.0781033336398,78393.75849072705,21290,13755,12416,1745
015800,Bronx,2009,1101.8829854522455,53246.41962591489,2068,371,665,63
015801,Bronx,2009,1528.9495186769032,101867.42050593942,9916,6154,4332,520
015802,Bronx,2009,1528.7104218269965,70453.81483202212,6761,2453,3022,299
015900,Brooklyn,2009,1383.6601991651025,84374.4076363968,24138,16262,12743,1511
016000,Bronx,2009,1391.1397826774976,62234.86158877519,9478,6543,4183,293
016001,Manhattan,2009,2001.0,228750.0,4135,3738,2108,435
016002,Manhattan,2009,1211.0,98669.0,3425,2358,1516,173
016100,Brooklyn,2009,1416.637914371279,74544.05255527544,17699,9059,8967,926
016200,Manhattan,2009,804.1591146184584,39345.630473979516,16708,4560,6580,359
016300,Brooklyn,2009,1284.3021645261013,69049.71462106983,14642,8181,8128,760
016400,Manhattan,2009,979.3648032003425,39410.56962568501,5968,1112,2170,260
016500,Bronx,2009,1625.559203990669,108651.01813265134,13901,10734,7529,747
016600,Manhattan,2009,940.0162612967463,46198.59673018904,15657,3516,5334,296
016700,Brooklyn,2009,1625.9584833588488,118862.71437531103,15700,11340,6972,498
016800,Queens,2009,831.134989434594,41475.80778338115,9596,2212,3264,179
016900,Bronx,2009,1345.7421498870947,85607.5568573985,23471,14683,10937,799
016901,Staten Island,2009,1249.6308851471815,56372.21610145387,3329,2449,1267,0
017000,Brooklyn,2009,954.5910586552217,43340.687839771104,13224,3372,4906,249
017005,Staten Island,2009,985.0,99883.0,4205,3892,1420,34
017007,Staten Island,2009,1284.4106143482672,69945.47570184099,4300,2917,1676,138
017009,Staten Island,2009,1316.9137047129989,83680.93636909421,5006,4563,1800,156
017011,Staten Island,2009,983.0,87006.0,4220,3419,1455,75
017012,Staten Island,2009,983.0,87006.0,5409,4382,1865,96
017013,Staten Island,2009,1275.0,90625.0,4742,3657,1640,67
017014,Staten Island,2009,1275.0,90625.0,4716,3637,1632,67
017015,Staten Island,2009,1200.2209643244385,85562.28686593103,3404,3047,1232,39
017016,Staten Island,2009,1197.6805884414543,85579.17093621008,4905,4386,1774,56
017100,Brooklyn,2009,1423.5779859279714,104623.49701358423,4793,3781,2454,209
017101,Brooklyn,2009,1466.3824974331471,110836.41640913885,6719,5735,3485,288
017102,Brooklyn,2009,1462.7502874675292,110349.66591859394,3311,2812,1714,142
017200,Brooklyn,2009,845.1535689300822,37522.41418509599,11097,2424,3844,227
017300,Bronx,2009,1250.8930421909695,71137.72631384159,13345,7181,6901,807
017400,Queens,2009,1125.7010541312034,58350.92476891742,3743,851,1201,96
017401,Manhattan,2009,668.0,31466.0,6432,906,2199,196
017402,Manhattan,2009,1024.0,33413.0,2753,126,831,0
017500,Bronx,2009,1298.085768205189,85375.89972317306,17924,8970,9053,907
017600,Queens,2009,1032.5549665198337,75188.06090026314,4169,2544,1518,100
017700,Bronx,2009,881.2990490521743,58514.34649407286,12386,5723,5214,482
017701,Staten Island,2009,905.3452626439636,62118.740439568945,10325,4971,4238,361
017702,Bronx,2009,880.4925080912615,58508.37899069005,3300,1528,1388,129
017800,Brooklyn,2009,943.5138274623813,42192.05879070162,10783,2989,3493,351
017900,Brooklyn,2009,1032.1617913146504,50590.55164804292,1917,658,824,56
017901,Bronx,2009,1055.0121467479175,53771.841958042016,1033,404,436,25
017902,Brooklyn,2009,1060.8897398074564,54255.22473916794,2505,987,1051,59
018000,Brooklyn,2009,684.097204688909,30044.9303877367,10655,1848,3852,352
018100,Manhattan,2009,1071.5211735970263,55128.076191752014,45973,19485,20597,1230
018101,Bronx,2009,1037.2923829800757,54714.728081604124,8075,3321,3655,248
018102,Bronx,2009,1037.2923829800757,54714.728081604124,8987,3696,4068,276
